epoch,step,test_acc,train_acc,train_loss,val_acc
0,2,,,,0.6842105388641357
1,5,,,,0.31578946113586426
2,8,,,,0.6842105388641357
3,11,,,,0.31578946113586426
4,14,,,,0.31578946113586426
5,17,,,,0.31578946113586426
6,20,,,,0.31578946113586426
7,23,,,,0.31578946113586426
8,26,,,,0.31578946113586426
9,29,,,,0.31578946113586426
10,32,,,,0.31578946113586426
11,35,,,,0.31578946113586426
12,38,,,,0.31578946113586426
13,41,,,,0.31578946113586426
14,44,,,,0.31578946113586426
15,47,,,,0.31578946113586426
16,49,,0.765625,0.5078044533729553,
16,50,,,,0.7631579041481018
17,53,,,,0.7105262875556946
18,56,,,,0.7368420958518982
19,59,,,,0.7105262875556946
20,62,,,,0.6842105388641357
21,65,,,,0.7631579041481018
22,68,,,,0.6842105388641357
23,71,,,,0.7368420958518982
24,74,,,,0.7631579041481018
25,77,,,,0.7105262875556946
26,80,,,,0.7368420958518982
27,83,,,,0.7368420958518982
28,86,,,,0.7368420958518982
29,89,,,,0.7105262875556946
30,92,,,,0.7105262875556946
31,95,,,,0.7368420958518982
32,98,,,,0.7368420958518982
33,99,,0.78125,0.46294814348220825,
33,101,,,,0.7368420958518982
34,104,,,,0.7368420958518982
35,107,,,,0.7368420958518982
36,110,,,,0.7105262875556946
37,113,,,,0.6842105388641357
38,116,,,,0.7105262875556946
39,119,,,,0.7368420958518982
40,122,,,,0.7368420958518982
41,125,,,,0.7105262875556946
42,128,,,,0.7368420958518982
43,131,,,,0.7368420958518982
44,134,,,,0.7368420958518982
45,137,,,,0.7631579041481018
46,140,,,,0.7631579041481018
47,143,,,,0.7631579041481018
48,146,,,,0.7631579041481018
49,149,,0.9090909361839294,0.28520405292510986,
49,149,,,,0.7368420958518982
50,152,,,,0.7368420958518982
51,155,,,,0.7631579041481018
52,158,,,,0.7631579041481018
53,161,,,,0.7631579041481018
54,164,,,,0.7368420958518982
55,167,,,,0.7368420958518982
56,170,,,,0.6842105388641357
57,171,0.8087121844291687,,,
57,171,0.7631579041481018,,,
